ID	caatinga_metaphlan	praia_metaphlan	rumen_metaphlan	yanomami_metaphlan
k__Bacteria|p__Bacteroidetes	0.0	59.82734	100.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0	0.69264	100.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0	0.69264	100.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0	0.69264	0.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.0	0.69264	0.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0	0.0	0.0	1.50699
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_graminisolvens	0.0	0.69264	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.0	0.0	100.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.0	0.0	100.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bryantii	0.0	0.0	12.12491	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ruminicola	0.0	0.0	87.87509	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.0	59.1347	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.0	59.1347	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.0	59.1347	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cloacibacterium	0.0	59.07609	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cloacibacterium|s__Cloacibacterium_normanense	0.0	59.07609	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	0.0	0.05861	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium_sp_FEMGT703F	0.0	0.05861	0.0	0.0
k__Bacteria|p__Chloroflexi	17.97617	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Chloroflexia	1.03396	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	1.03396	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae	1.03396	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix	1.03396	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix|s__Kouleothrix_aurantiaca	1.03396	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	16.94221	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	16.94221	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae	16.94221	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea	16.94221	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea|s__Nitrolancea_hollandica	16.94221	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria	0.0	6.14691	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	0.0	6.14691	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales	0.0	6.08337	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Microcystaceae	0.0	6.08337	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Microcystaceae|g__Microcystis	0.0	6.08337	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Microcystaceae|g__Microcystis|s__Microcystis_aeruginosa	0.0	3.64458	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Chroococcales|f__Microcystaceae|g__Microcystis|s__Microcystis_flos_aquae	0.0	2.43879	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales	0.0	0.06354	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae	0.0	0.06354	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus	0.0	0.06354	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_XM_24	0.0	0.06354	0.0	0.0
k__Bacteria|p__Firmicutes	1.72478	0.86175	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Bacilli	0.8157	0.67954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.8157	0.67954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	0.8157	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Hydrogenibacillus	0.8157	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Hydrogenibacillus|s__Hydrogenibacillus_schlegelii	0.8157	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.0	0.67954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.0	0.67954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis	0.0	0.67954	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0	0.0	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0	0.0	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.0	0.0	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	0.0	0.0	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum	0.0	0.0	0.0	2.5106
k__Bacteria|p__Firmicutes|c__Limnochordia	0.90908	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	0.90908	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae	0.90908	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae|g__Limnochorda	0.90908	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae|g__Limnochorda|s__Limnochorda_pilosa	0.90908	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia	0.0	0.18221	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.0	0.18221	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.0	0.18221	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	0.0	0.18221	0.0	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_octavius	0.0	0.18221	0.0	0.0
k__Bacteria|p__Gemmatimonadetes	0.12786	0.0	0.0	0.0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	0.12786	0.0	0.0	0.0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	0.12786	0.0	0.0	0.0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	0.12786	0.0	0.0	0.0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa	0.12786	0.0	0.0	0.0
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa|s__Gemmatirosa_kalamazoonesis	0.12786	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes	17.16934	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia	17.16934	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	17.16934	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae	1.72214	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Fimbriiglobus	1.20714	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Fimbriiglobus|s__Fimbriiglobus_ruber	1.20714	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Gemmata	0.51499	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Gemmata|s__Gemmata_obscuriglobus	0.51499	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae	15.4472	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera	12.15491	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera|s__Paludisphaera_borealis	12.15491	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera	3.29229	0.0	0.0	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera|s__Singulisphaera_acidiphila	3.29229	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	2.39573	23.57007	0.0	32.44834
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.8775	3.42505	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.25705	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae	0.17525	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Dichotomicrobium	0.17525	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Dichotomicrobium|s__Dichotomicrobium_thermohalophilum	0.17525	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified	0.0818	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter	0.0818	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter|s__Methyloceanibacter_superfactus	0.0818	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0.0	0.15696	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0.0	0.15696	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter	0.0	0.15696	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_capsulatus	0.0	0.15696	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.62046	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0.62046	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidisphaera	0.62046	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidisphaera|s__Acidisphaera_rubrifaciens	0.62046	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.0	3.26809	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	0.0	3.26809	0.0	0.0
